UUID,TestItem,TestValue
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.47700000000000004
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.42700000000000005
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,25
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,24
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.6616666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,0.4233333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.446
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.532
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,23
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,29
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.36000000000000004
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.0
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.493
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.45899999999999996
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,29
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,24
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.6366666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.19333333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.532
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.451
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,29
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,23
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.26
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.365
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.649
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.474
