SampleID,Trial,Operator,Exposuretime(ms),Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.31,1,Zhida,50,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000461441,0.002273086,0.00511095,19.04911696,5.872302837,,,,,,,,,,1.252576179,3.574059079,3.283228327,5.863941417,5.876130904,9.315507095
19B167.04.32,1,Zhida,50,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000426118,0.002100831,0.004532461,13.68111451,4.55029291,,,,,,,,,,1.455566276,5.162451919,6.959638427,4.965842795,5.466791142,7.300504268
19B167.04.11,1,Zhida,100,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000339945,0.001858765,0.005242498,28.33511842,6.408414951,,,,,,,,,,1.645580979,3.416782851,3.370064654,5.302196605,5.249403997,8.908723433
19B167.04.12,1,Zhida,100,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000314606,0.001775876,0.004629251,16.51678943,4.923930492,,,,,,,,,,1.51876644,2.871810413,3.451764286,4.727460669,4.706998974,7.986780995
19B167.04.21,1,Zhida,100,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000380241,0.001942475,0.004321451,12.91377072,6.240969875,,,,,,,,,,1.682569009,5.106112392,5.181775644,4.679613252,4.40819345,6.609529615
19B167.04.22,1,Zhida,100,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.00033791,0.001977671,0.004194951,14.40647337,5.06682575,,,,,,,,,,1.885374078,4.018488374,4.543046405,4.079032712,4.156120674,5.793597685
19B167.04.31,1,Zhida,100,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000446843,0.002281029,0.004994455,20.30697508,5.52021322,,,,,,,,,,1.576615049,3.857292902,3.239863745,5.983041694,5.774545715,9.152143723
19B167.04.32,1,Zhida,100,Individual dark field calibration 2020-07-15,IQT-HT1,Red,0.000399491,0.002090568,0.004477655,13.58889414,4.473874218,,,,,,,,,,1.896439953,5.729782912,7.127273069,5.307571233,5.62632783,7.387943355
19B167.04.11,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Red,0.000814407,0.002800072,0.005799443,26.40416448,6.671334162,,,,,,,,,,1.113258092,2.164031412,3.413769217,4.69639721,4.908023396,9.89769962
19B167.04.12,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Red,0.000725889,0.002613694,0.005013614,15.37045737,4.966331583,,,,,,,,,,1.367692758,2.310370509,3.520328828,4.160981206,4.501975116,7.991237385
