SampleID,Trial,Operator,Exposuretime,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B251.13.21,2,Zhida,AE,without SLB calibration,IQT4,Blue,0.003183653,0.00508368,0.001756375,39.99668263,1.521416172,4.332316477,7.179144125,17.79792813,,,,,,,10.2902475,11.2201225,2.3503025,6.119323168,11.33703568,20.91111803
19B251.13.21,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.003564075,0.004590894,0.001433556,24.99292111,1.485497663,4.259200208,8.327040398,17.86801104,,,,,,,10.6006525,13.6751775,3.0395,6.347410452,11.10558782,21.49373043
19B251.13.22,1,Zhida,AE,without SLB calibration,IQT4,Blue,0.003086557,0.004158885,0.0014436,34.84522893,1.417792272,4.048651762,5.400940474,11.4558739,,,,,,,13.29991,16.1639175,2.8070775,5.836294667,11.24076664,25.22335599
19B251.13.22,2,Zhida,AE,without SLB calibration,IQT4,Blue,0.003070227,0.00423945,0.001469242,38.54160328,1.437511946,3.99514309,5.292447126,11.98934277,,,,,,,12.4085975,14.85816,2.71326,6.070706586,11.52376763,25.36830729
19B251.13.22,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.003032884,0.004165853,0.001450581,34.72354645,1.423070036,3.980520025,5.240010476,11.70858518,,,,,,,12.3384625,14.7614425,2.654105,5.999727588,11.5477926,25.35811829
19B251.13.31,1,Zhida,AE,without SLB calibration,IQT4,Blue,0.003799724,0.005980914,0.002817262,52.4539461,1.869076275,4.350799372,6.029056839,24.04406595,,,,,,,9.9741375,12.3538325,2.0216575,8.219856612,13.80644045,31.04777787
19B251.13.31,2,Zhida,AE,without SLB calibration,IQT4,Blue,0.003906031,0.006010761,0.002772329,58.7460025,1.859731317,4.31867771,6.07581993,25.00547783,,,,,,,9.93566,12.40237,2.07601,8.310192346,13.58365388,30.54497329
19B251.13.31,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.003804128,0.005990654,0.002816304,57.11467087,1.858508177,4.308956698,5.967377712,23.01992227,,,,,,,9.7168675,11.9368075,2.004415,8.2376578,13.76649464,30.88210183
19B251.13.32,1,Zhida,AE,without SLB calibration,IQT4,Blue,0.004277236,0.006356323,0.002459133,66.11774263,1.286421231,4.286397075,6.088729213,25.13028228,,,,,,,12.18304,12.3492525,2.22131,9.258856664,16.66815296,31.33915514
19B251.13.32,2,Zhida,AE,without SLB calibration,IQT4,Blue,0.004247445,0.006359513,0.002453959,68.05002762,1.270594057,4.209392199,6.005734229,21.92383612,,,,,,,11.3955475,11.71597,2.1683375,9.308062686,16.77697638,30.93965647
