SampleID,Date,Trial,Operator,Dicing,Color,TP_Blue,TP_Green,TP_Red,Angular uniformity,Spatial uniformity,CU_Blue,CU_Green,CU_Red,Center contrast_Blue,Center contrast_Green,Center contrast_Red,Mean contrast_Blue,Mean contrast_Green,Mean contrast_Red
19B157.01.21,30-Dec,3,P,N,Red,0.001100,0.003200,0.004900,386.660000,3.790000,5.240000,6.160000,25.940000,3.230000,5.050000,5.930000,4.240000,4.380000,7.080000
19B157.01.22,30-Dec,3,P,N,Red,0.001200,0.003300,0.004200,227.160000,2.720000,5.350000,5.800000,18.130000,2.960000,4.500000,5.730000,4.230000,4.240000,5.550000
19B157.01.31,30-Dec,3,P,N,Red,0.001300,0.004100,0.006400,840.730000,3.150000,7.570000,5.730000,33.030000,2.080000,3.270000,2.980000,4.240000,4.300000,9.740000
19B157.01.32,30-Dec,3,P,N,Red,0.001200,0.003700,0.005500,693.770000,3.460000,6.220000,5.150000,31.370000,2.220000,2.980000,3.670000,4.140000,4.390000,8.640000
19B157.06.11,30-Dec,1,P,N,Red,0.001500,0.004300,0.005600,1340.880000,3.450000,6.080000,5.960000,34.760000,2.530000,4.020000,2.990000,4.380000,4.880000,10.440000
19B157.06.12,30-Dec,1,P,N,Red,0.001300,0.004100,0.005700,383.110000,3.690000,6.330000,4.930000,24.170000,2.960000,5.080000,4.390000,5.050000,5.490000,8.780000
19B157.06.21,30-Dec,1,P,N,Red,0.001400,0.004000,0.004200,209.980000,3.910000,6.430000,4.600000,16.830000,3.060000,5.070000,4.050000,4.060000,4.480000,5.760000
19B157.06.22,30-Dec,1,P,N,Red,0.001600,0.004400,0.004800,259.960000,2.690000,6.930000,4.780000,19.680000,1.720000,2.330000,4.010000,3.250000,3.750000,5.780000
19B157.06.31,30-Dec,1,P,N,Red,0.001700,0.005100,0.006600,569.620000,2.630000,7.910000,5.890000,28.580000,2.370000,3.270000,2.460000,4.850000,4.890000,9.840000
19B157.06.32,30-Dec,1,P,N,Red,0.001400,0.004200,0.005300,616.310000,4.290000,5.120000,5.060000,28.860000,2.510000,4.080000,3.150000,4.600000,4.940000,10.360000
19B157.06.11,30-Dec,2,P,N,Red,0.001400,0.004200,0.005800,894.100000,3.530000,6.150000,6.180000,30.180000,2.640000,4.230000,3.200000,4.330000,4.850000,11.230000
