SampleID,Trial,Operator,Exposure,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,AU,SU,CU_B,CU_G,CU_R,dummy1,dummy2,dummy3,dummy4,dummy5,dummy6,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B301.06.21,5,AP,AE,Radiant,IQT4,Red,0.003096123,0.006848431,0.006138858,630,3.5,4.5,4.3,30.8,,,,,,,2.006080353,3.445556634,6.209251712,5.794101878,5.918054073,7.456103635
19B302.18.21,1,AP,AE,Radiant,IQT4,Blue,0.002948252,0.005875678,0.003400519,45,1.7,4.5,6.5,32.2,,,,,,,15.85526878,18.61990885,3.107085559,4.560914484,6.801779952,13.5036678
19B302.18.21,2,AP,AE,Radiant,IQT4,Blue,0.003068195,0.006041764,0.003451439,51,1.7,4.5,6.7,29.7,,,,,,,15.93174879,18.94843973,3.249646215,4.630583806,6.884914231,13.70628678
19B302.18.21,3,AP,AE,Radiant,IQT4,Blue,0.003060918,0.006073161,0.003481252,52,1.7,4.5,6.7,30.3,,,,,,,16.01113,18.91376366,3.199235357,4.620146633,6.897197505,13.74759665
19B302.18.21,4,AP,AE,Radiant,IQT4,Blue,0.003094167,0.006070415,0.003456612,44,1.7,4.6,6.7,31.8,,,,,,,16.11280835,19.18639875,3.269798252,4.641327076,6.904866,13.77566404
19B302.18.21,5,AP,AE,Radiant,IQT4,Blue,0.003001158,0.005996479,0.003465633,51,1.7,4.5,6.6,28.8,,,,,,,15.88184651,18.57058002,3.179756119,4.59778604,6.853248552,13.68068705
19B167.04.11,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001523585,0.004123864,0.005605613,189.0942437,3.82922793,,,,,,,,,,1.814813229,2.489228452,2.628571096,4.719989088,4.554151296,8.368709081
19B167.04.12,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001345439,0.004193848,0.005097062,198.6283485,2.492708248,,,,,,,,,,2.572373966,2.12119329,2.592444052,4.134506862,4.050525153,6.6175286
19B167.04.21,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001502458,0.004008891,0.003670744,150.5717019,3.453271695,,,,,,,,,,2.159516549,4.40775236,4.749798498,4.207543972,4.002659264,5.781873903
19B167.04.22,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001384403,0.003608359,0.003259009,101.9817926,2.428655626,,,,,,,,,,2.987234527,3.942978159,4.229478338,3.775481651,3.83121804,5.201998174
19B167.04.31,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001708831,0.004917247,0.005569079,176.7385126,2.506524349,,,,,,,,,,1.926614311,3.370152013,2.886485642,5.126568625,4.864348047,7.585729275
19B167.04.32,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001385182,0.003893056,0.003980214,183.1981933,2.779129649,,,,,,,,,,2.626414494,5.180406669,6.391105661,5.037464679,5.025054373,6.580796188
19B167.04.11,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001569336,0.00419697,0.005496318,335.051907,3.804492556,,,,,,,,,,1.772392925,2.466024138,2.620451649,4.732959005,4.577909485,8.296418327
19B167.04.12,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.00137237,0.004235894,0.005024767,190.0814606,2.486642745,,,,,,,,,,2.525859086,2.113050747,2.582194715,4.147863036,4.049393033,6.629868186
19B167.04.21,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001550282,0.004077931,0.003592652,146.2229292,3.44814074,,,,,,,,,,2.015738849,4.3519184,4.703609047,4.212763539,4.001429156,5.793064924
19B167.04.22,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001415033,0.003645138,0.003202302,143.6447164,2.431707972,,,,,,,,,,2.938782063,3.932599028,4.242300912,3.804627527,3.848665504,5.25339565
