SampleID,Wgcolor,mtf_x_blue,mtf_x_green,mtf_x_red,mtf_y_blue,mtf_y_green,mtf_y_red,cra_x_blue,cra_x_green,cra_x_red,cra_y_blue,cra_y_green,cra_y_red,A,B,Average,A,B,Average,,blue,green,red,blue,green,red,blue,green,red,,,,,,,,,,
19b158.01.12,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.01.21,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.01.22,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.01.31,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.01.32,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.02.11,Blue,20.000000,21.600000,,16.600000,18.800000,,-2.200000,-1.240000,,-1.680000,-0.010000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.02.12,Blue,22.000000,23.500000,,19.400000,21.600000,,-2.890000,-1.990000,,2.120000,1.980000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.02.21,Blue,23.200000,25.500000,,19.900000,21.800000,,0.530000,0.350000,,-0.310000,0.550000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.02.22,Blue,23.800000,24.100000,,19.900000,21.500000,,0.860000,0.500000,,0.090000,0.840000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.02.31,Blue,21.100000,25.300000,,18.000000,21.600000,,1.980000,1.000000,,-0.820000,0.670000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.02.32,Blue,15.100000,18.700000,,18.000000,18.900000,,0.350000,-0.010000,,1.950000,1.960000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.03.11,Blue,19.400000,20.500000,,19.200000,20.500000,,-1.710000,-0.320000,,-0.510000,0.580000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.03.12,Blue,19.700000,21.500000,,20.100000,20.700000,,-3.270000,-2.010000,,2.160000,2.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.03.21,Blue,23.800000,25.100000,,19.400000,21.500000,,-0.210000,-0.030000,,-0.340000,0.460000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.03.22,Blue,29.100000,25.400000,,23.400000,23.400000,,-0.110000,0.060000,,0.650000,1.240000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.03.31,Blue,21.400000,25.900000,,16.600000,19.800000,,2.010000,0.950000,,-1.870000,0.220000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.03.32,Blue,16.600000,19.900000,,17.500000,18.400000,,-0.700000,-0.750000,,2.200000,1.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.04.11,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.04.12,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.04.21,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.04.22,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.04.31,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.04.32,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.10.11,Blue,18.700000,20.900000,,15.900000,18.700000,,-1.900000,-1.100000,,-1.300000,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.10.12,Blue,22.300000,24.500000,,18.800000,21.100000,,-1.700000,-1.100000,,2.100000,2.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.10.21,Blue,22.400000,25.400000,,17.500000,20.900000,,1.300000,1.200000,,-0.700000,0.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.10.22,Blue,23.300000,24.300000,,19.200000,21.700000,,1.600000,1.300000,,0.200000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b158.10.31,Blue,18.700000,24.400000,,16.000000,20.600000,,2.200000,1.100000,,-1.000000,0.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,
